"","WT_rep1","WT_rep2","WT_rep3","14_rep1","14_rep2","14_rep3","15_rep1","15_rep2","15_rep3","16_rep1","16_rep2","16_rep3"
"POT002955",21.6457921028984,21.6216727303688,21.6338271557026,21.7640130509695,21.5273586398548,21.6263150699021,21.9698993896568,21.852052437535,21.5885225025332,21.8817383352217,21.7187920536073,21.3237760682931
"POT011645",23.5208526759954,23.4558830395463,0,22.3688762189693,23.0708907094098,23.0728542057025,22.8506607119488,23.1219463845884,23.3423166975101,23.282348670059,22.9565619163276,23.128175613419
"POT000328",24.1279395510703,23.6940236960874,23.9993793531138,24.4213683722407,24.1918200993107,24.2191886134362,24.1743996934362,24.3531958339358,24.2520532473419,24.3942098901641,24.745862627607,24.1958797962161
"POT000711",25.4853284005986,25.4523679437294,25.5709744012984,25.7553434007183,25.7804168154632,25.9415650948694,25.9193669192155,25.8008724564725,25.9628534770887,26.0858803807607,25.7605301216415,26.0877629096515
"POT009683",24.5246832658088,24.3188621723969,24.87928147504,24.630398229528,24.849668526353,24.9177064134234,24.5408507492407,24.7635471198127,24.885951021901,24.8941175922472,24.8765675305328,24.884088518362
"POT001937",22.4433907869835,22.3563294535522,22.5932269718757,22.704172148226,22.4219076446966,22.2675948203071,22.6447364723335,22.5826776800586,22.4360618464326,22.3565712527719,22.6691255472318,22.4698832344835
"POT002158",21.8510993457115,21.1474335084774,21.1087847701602,21.9003966128335,22.471521419793,22.2867258249966,0,22.5981433929032,22.3134610126838,22.8412072844351,22.6721723771544,21.8940435585303
"POT001217",22.6821321999702,0,22.3519701232695,0,22.664662550499,22.3605684950872,23.0648526033669,22.5904426825517,22.2748911066358,23.0008926577034,22.911667008142,22.8130765782404
"POT001283",24.9676322580679,25.0636518172899,24.9604470898584,24.7869105026025,25.6583997863567,25.5901513911241,25.58732109091,25.9288835612398,25.8594887202145,25.6395902225789,25.6411349231642,25.4943299650733
"POT003777",30.8089293991096,30.3112718311251,30.3371355434622,30.2863689136748,30.6450410075536,30.5821715915395,30.5707283644341,30.6784187524222,30.4745036909607,30.4688840523998,30.3185088146485,30.4373801232438
"POT001461",25.7164651045325,25.8186794931433,26.1038760567521,25.6534606804932,25.8122540945853,25.6965728155742,25.7020540756382,25.7044835225865,25.6682275582162,25.7166744220817,25.5621778956153,25.5944291727064
"POT000022",30.1129693310635,30.2565366439608,30.0639397680567,30.522623343361,30.1589438429504,30.238541626465,30.3611845335259,30.1685394555835,30.3173231411946,30.4631449754581,30.342549836368,30.5152155139995
"POT001414",23.8008477766672,24.233887620273,24.0135046510436,24.1525949363156,23.9203441316619,24.1056553478746,24.3963675093082,23.9592534462613,24.0815595040069,24.1334376333377,24.3533977742195,24.148644148705
"POT003102",24.7959528387483,24.7098297211141,24.796497541614,24.1189404392333,24.508574346217,24.0657895090848,23.9034339635582,24.4005428076289,24.4616393115493,24.5212721424803,24.3757718003469,24.1823785913009
"POT004188",27.3619374840703,27.1864082305344,27.6475305595793,26.7025297242383,26.8088220232008,27.1510275360593,27.2194656020213,26.6630233770225,26.4674659983599,26.7876828033016,26.7325978531324,26.8957361300059
"POT000276",20.8938584576152,0,21.2759994184036,0,0,20.742875180794,0,20.9125443820029,20.9747030596379,21.1255925652093,21.2020377096348,0
"POT006237",26.9433549005308,27.3537174552044,27.1318296491374,26.8549554848289,27.2455399403832,27.1719783118414,26.8849502251267,27.2725758261833,26.9626769979324,26.6205881107021,26.8614778934764,26.9002353625194
"POT007495",21.0091533986198,21.1691322876419,20.6454403118601,0,20.4128675108717,20.0747007248799,20.4086241349027,20.3474353798474,20.2509552838683,20.1511553138975,20.1585702439132,20.373370723953
"POT000096",23.1689181312625,23.1120824695015,23.1032237669054,23.6376570181154,23.0185221342119,23.2982404854359,23.4212399443205,23.1565966525782,23.3214106783,23.416351192402,23.4490962396614,23.2485976194424
"POT005069",25.8296559664741,0,25.8755367663002,26.8792347261202,25.9972701179959,0,25.6598428490904,25.5082418618407,25.4461642840878,25.9822661535225,26.2401442366552,26.0711403853373
"POT003064",23.3099414652312,23.4253439777849,23.6005953348338,24.4111871777936,23.5214518765028,23.9103133438609,24.2200009625376,23.9818961228826,23.7367578241637,24.2976109610329,24.3962368363276,24.4257921489686
"POT001293",24.1253403127209,24.5367665584473,24.5853738245806,24.7998108434195,24.2281728084131,24.4412010782151,24.1699733086493,24.153986752842,24.1355527351802,24.2657077481624,24.1533683334827,24.2650638635286
